Français,Vide,Italien,Prononciation
Bonjour,,Buongiorno,bwon-djor-no
Bonsoir,,Buona sera,bouo-na sè-ra
Comment allez-vous ?,,Come sta,co-mé sta
Très bien, merci, et vous ?,,Molto bene, grazie. E lei ?,mol-to bè-né, gra-tsié. é lèï
Parlez-vous français ?,,Parla francese,par-la fran-tché-zé
Parlez-vous anglais ?,,Parla inglese,par-la in-glè-zé
Je comprends,,Capisco,ka-pi-sco
Je ne comprends pas,,Non capisco,non ka-pi-sco
Excusez-moi,,Mi scusi,mi skou-zi
Merci,,Grazie,gra-tsié
Merci beaucoup,,Grazie mille,gra-tsié mi-lé
Au revoir,,Arrivederci,a-ri-vé-dèr-tchi
Bienvenue,,Benvenuto,bèn-vé-nou-to
Où est… ?,,Dov'è…,dov-è
Est-ce près ?,,È vicino,è vi-tchi-no
Est-ce loin ?,,È lontano,è lon-ta-no
Comment aller à… ?,,Come raggiungere…,co-mé rad-djoung-jè-ré
Quelle heure est-il ?,,Che ore sono ?,ké o-ré so-no
Ici,,Qui,koui
Là-bas,,Lì,li
À gauche,,A sinistra,a si-nis-tra
À droite,,A destra,a dè-stra
Tout droit,,Dritto,drit-to
Rue,,Via,vi-a
Avenue,,Viale,vi-a-lè
Place,,Piazza,piat-tsa
Carrefour,,Incrocio,in-kro-tcho
Gare,,Stazione,sta-tsio-nè
Aéroport,,Aeroporto,a-é-ro-por-to
Bus,,Autobus,a-ou-to-bous
Train,,Treno,tré-no
Métro,,Metro,mè-tro
Taxi,,Taxi,ta-ksi
Arrêt,,Fermata,fer-ma-ta
Plan / Carte,,Mappa,map-pa
Adresse,,Indirizzo,in-di-rit-tsô
Hôtel,,Albergo,al-ber-go
Entrée,,Entrata,en-tra-ta
Sortie,,Uscita,ou-schi-ta
Ouvert,,Aperto,a-pèr-to
Fermé,,Chiuso,kioû-zo
Heures d’ouverture,,Orari di apertura,o-ra-ri di a-per-tou-ra
Aidez-moi,,Aiutami,a-you-ta-mi
Avion,,Aereo,a-é-ro
Où est l'arrêt ?,,Dov'è la fermata ?,dov-è la fer-ma-ta
Je voudrais louer une voiture,,Vorrei noleggiare una macchina,vor-ré no-léd-dja-ré ou-na ma-kki-na
C'est combien ?,,Quanto costa ?,kouan-to kos-ta
C'est très bon marché,,È a buon mercato,è a bouon mer-ka-to
C'est trop cher !,,È troppo caro !,è trop-po ka-ro
Pouvez-vous baisser le prix ?,,Può abbassare il prezzo ?,pouo ab-ba-sa-ré il prèt-tso
Je voudrais acheter ça,,Vorrei comprare questo,vor-ré kom-pra-ré kouè-sto
Je ne fais que regarder,,Sto solo guardando,sto so-lo gward-an-do
J'ai faim,,Ho fame,o fa-mé
J'ai soif,,Ho sete,o sè-té
Bon appétit,,Buon appetito,bwon a-pé-ti-to
L'addition, SVP,,Il conto, per favore,il kon-to, pèr fa-vo-ré
C'était délicieux !,,Era squisito !,è-ra skoui-zi-to
Je suis végétarien(ne),,Sono vegetariano/a,so-no vé-djé-ta-ri-a-no/a
Manger,,Mangiare,man-dja-rè
Boire,,Bere,bé-ré
Petit-déjeuner,,Colazione,co-la-tsio-nè
Déjeuner,,Pranzo,pran-zo
Dîner,,Cena,tché-na
Restaurant,,Ristorante,ri-sto-ran-tè
Café,,Caffè,ka-fè
Bar,,Bar,bar
Menu,,Menù,mé-nou
Plat,,Piatto,piat-to
Dessert,,Dolce,dol-tché
Boisson,,Bevanda,bé-van-da
Eau,,Acqua,a-koua
Vin,,Vino,vi-no
Bière,,Birra,bir-ra
Pain,,Pane,pa-né
Fromage,,Formaggio,for-mad-djo
Viande,,Carne,car-né
Poisson,,Pesce,pè-sché
Légumes,,Verdure,ver-dou-rè
Fruits,,Frutta,frout-ta
Sel,,Sale,sa-lé
Poivre,,Pepe,pè-pé
Sucre,,Zucchero,tsou-ké-ro
L’addition,,Il conto,il kon-to
Commander,,Ordinare,or-di-na-ré
Couteau,,Coltello,col-tèl-lo
Fourchette,,Forchetta,for-kèt-ta
Cuillère,,Cucchiaio,kou-kia-yo
Je m’appelle…,,Mi chiamo…,mi kia-mo
Comment vous appelez-vous ?,,Come si chiama ?,co-mè si kia-ma
Enchanté(e),,Piacere,pia-tché-ré
Oui,,Sì,si
Non,,No,no
S’il vous plaît,,Per favore,pèr fa-vo-ré
De rien,,Prego,prè-go
Pouvez-vous répéter ?,,Può ripetere ?,pouo ri-pè-té-ré
Parlez-vous… ?,,Parla… ?,par-la
Je parle un peu…,,Parlo un po’…,par-lo oun po
Anglais,,Inglese,in-glé-zé
Français,,Francese,fran-tché-zé
Toilettes,,Bagno,ba-gno
Hôpital,,Ospedale,os-pé-da-lé
Pharmacie,,Farmacia,far-ma-tchi-a
Docteur,,Dottore,dot-tô-ré
Police,,Polizia,po-li-tsia
Argent,,Soldi,sol-di
Combien ça coûte ?,,Quanto costa ?,kouan-to kos-ta
Carte bancaire,,Carta di credito,car-ta di cré-di-to
En liquide,,In contanti,in kon-tan-ti
Ticket,,Biglietto,bi-lliè-tto
Numéro de téléphone,,Numero di telefono,nou-mé-ro di télé-fo-no
Passeport,,Passaporto,pas-sa-por-to
Visa,,Visto,vis-to
Bagage,,Bagaglio,ba-ga-llio
Perdu(e),,Perso/a,pèr-so/sa
Aide,,Aiuto,a-you-to
J'ai besoin de voir un médecin,,Ho bisogno di vedere un medico,o bi-zou-gno di vé-dé-ré oun mè-di-ko
Appelez une ambulance,,Chiami un'ambulanza,kia-mi oun am-bou-lan-tsa
Je suis perdu(e),,Mi sono perso(a),mi so-no pèr-so/sa
À l'aide !,,Aiuto !,a-you-to
Aujourd’hui,,Oggi,od-dji
Demain,,Domani,do-ma-ni
Hier,,Ieri,iè-ri
Matin,,Mattina,mat-ti-na
Soir,,Sera,sè-ra
Nuit,,Notte,not-té
Maintenant,,Adesso,a-dès-so
Heure,,Ora,o-ra
Vite,,Presto,prè-sto
Lentement,,Lentamente,lèn-ta-men-té
Un,,Uno,ou-no
Deux,,Due,dou-é
Trois,,Tre,tré
Quatre,,Quattro,koua-tro
Cinq,,Cinque,tchin-koué
Six,,Sei,séï
Sept,,Sette,sè-té
Huit,,Otto,o-tto
Neuf,,Nove,no-vé
Dix,,Dieci,dié-tchi
Onze,,Undici,oun-di-tchi
Douze,,Dodici,do-di-tchi
Treize,,Tredici,tré-di-tchi
Quatorze,,Quattordici,koua-tor-di-tchi
Quinze,,Quindici,kouin-di-tchi
Seize,,Sedici,sé-di-tchi
Dix-sept,,Diciassette,di-tcha-sèt-té
Dix-huit,,Diciotto,di-tcho-tto
Dix-neuf,,Diciannove,di-tcha-no-vé
Vingt,,Venti,vèn-ti
Vingt-et-un,,Ventuno,vèn-tou-no
Vingt-deux,,Ventidue,vèn-ti-dou-é
Vingt-trois,,Ventitré,vèn-ti-tré
Vingt-quatre,,Ventiquattro,vèn-ti-koua-tro
Vingt-cinq,,Venticinque,vèn-ti-tchin-koué
Vingt-six,,Ventisei,vèn-ti-séï
Vingt-sept,,Ventisette,vèn-ti-sèt-té
Vingt-huit,,Ventotto,vèn-tot-to
Vingt-neuf,,Ventinove,vèn-ti-no-vé
Trente,,Trenta,trèn-ta
Quarante,,Quaranta,koua-ran-ta
Cinquante,,Cinquanta,tchin-kouan-ta
Soixante,,Sessanta,sès-san-ta
Soixante-dix,,Settanta,sèt-tan-ta
Quatre-vingts,,Ottanta,ot-tan-ta
Quatre-vingt-dix,,Novanta,no-van-ta
Cent,,Cento,tchèn-to
